inverseDemandA,inverseDemandB,zParameter,zParameterLabel,zValue,initialTrips,offDemand,onDemand,offCost,onCost,deltaCost,deltaDemand,paradox,demandTrend,classKey
90,15,variableCostB,Variable-link coefficient b,4,6,2.647064208984375,3.9130096435546875,50.29412841796875,31.3040771484375,-18.99005126953125,1.2659454345703125,0,ID,NBP_ID
90,18,variableCostB,Variable-link coefficient b,4,5,2.2500228881835938,3.4615707397460938,49.50004577636719,27.69256591796875,-21.807479858398438,1.2115478515625,0,ID,NBP_ID
90,21,variableCostB,Variable-link coefficient b,4,4.285714285714286,1.956514630998884,3.1034742082868307,48.91302926199777,24.827793666294646,-24.085235595703125,1.1469595772879468,0,ID,NBP_ID
90,24,variableCostB,Variable-link coefficient b,4,3.75,1.7307758331298828,2.8125,48.461551666259766,22.5,-25.961551666259766,1.0817241668701172,0,ID,NBP_ID
90,27,variableCostB,Variable-link coefficient b,4,3.3333333333333335,1.5517425537109375,2.5714365641276045,48.103485107421875,20.571492513020836,-27.53199259440104,1.019694010416667,0,ID,NBP_ID
90,30,variableCostB,Variable-link coefficient b,4,3,1.40625,2.3684234619140625,47.8125,18.9473876953125,-28.8651123046875,0.9621734619140625,0,ID,NBP_ID
90,33,variableCostB,Variable-link coefficient b,4,2.727272727272727,1.2856916947798296,2.19514326615767,47.57138338955966,17.56114612926136,-30.010237260298297,0.9094515713778404,0,ID,NBP_ID
90,36,variableCostB,Variable-link coefficient b,4,2.5,1.1841964721679688,2.0454788208007812,47.36839294433594,16.36383056640625,-31.004562377929688,0.8612823486328125,0,ID,NBP_ID
90,39,variableCostB,Variable-link coefficient b,4,2.3076923076923075,1.0975412222055287,1.9148958646334133,47.19508244441106,15.319166917067307,-31.87591552734375,0.8173546424278846,0,ID,NBP_ID
90,42,variableCostB,Variable-link coefficient b,4,2.142857142857143,1.0227421351841517,1.8000248500279021,47.045484270368306,14.400198800223217,-32.64528547014509,0.7772827148437504,0,ID,NBP_ID
90,45,variableCostB,Variable-link coefficient b,4,2,0.957427978515625,1.698089599609375,46.91485595703125,13.584716796875,-33.33013916015625,0.74066162109375,0,ID,NBP_ID
105,15,variableCostB,Variable-link coefficient b,4,7,3.529399871826172,4.565204620361328,52.058799743652344,36.521636962890625,-15.537162780761719,1.0358047485351562,0,ID,NBP_ID
105,18,variableCostB,Variable-link coefficient b,4,5.833333333333333,3.0000241597493487,4.038499196370442,51.000048319498696,32.30799357096354,-18.692054748535156,1.0384750366210938,0,ID,NBP_ID
105,21,variableCostB,Variable-link coefficient b,4,5,2.6086807250976562,3.6207199096679688,50.21736145019531,28.96575927734375,-21.251602172851562,1.0120391845703125,0,ID,NBP_ID
105,24,variableCostB,Variable-link coefficient b,4,4.375,2.3076963424682617,3.28125,49.61539268493652,26.25,-23.365392684936523,0.9735536575317383,0,ID,NBP_ID
105,27,variableCostB,Variable-link coefficient b,4,3.888888888888889,2.0689688788519964,3.0000093248155384,49.137937757703995,24.000074598524307,-25.137863159179688,0.931040445963542,0,ID,NBP_ID
105,30,variableCostB,Variable-link coefficient b,4,3.5,1.8749961853027344,2.763134002685547,48.74999237060547,22.105072021484375,-26.644920349121094,0.8881378173828125,0,ID,NBP_ID
