demand_mode,scenario,demand,equilibrium_cost,total_travel_time,consumer_surplus,total_welfare
fixed,Without added link,6,75,450,0,-450
fixed,With added link,6,90,540,0,-540
fixed,Change,0,15,90,0,-90
elastic,Without added link,3.8571624755859375,64.28581237792969,247.96082321670838,223.1628869427368,-24.797936273971573
elastic,With added link,3.5999908447265625,71.99981689453125,259.1986816423014,194.40065917675383,-64.79802246554755
elastic,Change,-0.257171630859375,7.7140045166015625,11.237858425593004,-28.76222776598297,-40.000086191575974
